Price,Adj Close,Close,High,Low,Open,Volume,sma_5,sma_10,ema_12,ema_26,rsi_14,macd,macd_signal,bb_high,bb_low,returns_1d,volatility_14d,y_next_close
2015-02-20,28.850309371948242,32.375,32.375,32.01250076293945,32.154998779296875,195793600,32.079000091552736,31.339749908447267,31.20565529471524,30.050732608171508,78.44932224540344,1.1549226865437312,0.9924248316485568,33.07467374643029,27.34932623068153,0.008174410873523774,0.12992791370846862,33.25
2015-02-23,29.630050659179688,33.25,33.25,32.415000915527344,32.505001068115234,283896400,32.375,31.69149990081787,31.52016986475905,30.287715377936582,82.17219288469845,1.2324544868224692,1.0404307626833393,33.46499411838937,27.45950577479911,0.027027027027026973,0.15379140237792716,33.04249954223633
2015-02-24,29.44515037536621,33.04249954223633,33.400001525878906,32.79249954223633,33.23500061035156,276912400,32.59199981689453,32.002749824523924,31.754374430524784,30.491773464181005,78.70012563788495,1.2626009663437792,1.0848648034154273,33.72781948586118,27.673430399697896,-0.006240615271087879,0.16247370485541976,32.1974983215332
2015-02-25,28.692138671875,32.1974983215332,32.900001525878906,32.037498474121094,32.88999938964844,298846800,32.595499420166014,32.17199974060058,31.82254733683377,30.6181234536145,66.39654087123866,1.2044238832192704,1.1087766193761959,33.599061094798756,28.293438638172436,-0.025573162817873696,0.21549713526970582,32.60499954223633
2015-02-26,29.055273056030273,32.60499954223633,32.717498779296875,31.65250015258789,32.1974983215332,365150000,32.693999481201175,32.31049976348877,31.942924599203394,30.765299460179083,68.91998514684067,1.177625139024311,1.122546323305819,33.693870996687025,28.576378751542954,0.012656300704908974,0.21733717791103896,32.1150016784668
2015-02-27,28.618621826171875,32.1150016784668,32.64250183105469,32.060001373291016,32.5,248059200,32.64199981689453,32.360499954223634,31.96939799601315,30.86527740227447,62.811944387693266,1.1041205937386813,1.1188611773923915,33.76149592710338,28.74775395082631,-0.015028304574419393,0.2274599913984443,32.272499084472656
2015-03-02,28.75897216796875,32.272499084472656,32.56999969482422,32.07500076293945,32.3125,192386800,32.44649963378906,32.41074981689453,32.01602893269923,30.969516045400262,63.91882634729064,1.0465128872989666,1.1043915193737066,33.77666224411329,29.030837450710926,0.004904169321948482,0.22742753952386205,32.34000015258789
2015-03-03,28.81912612915039,32.34000015258789,32.380001068115234,32.022499084472656,32.2400016784668,151265200,32.305999755859375,32.44899978637695,32.06587065883595,31.07103338667342,64.40778793290986,0.9948372721625276,1.0824806699314709,33.801542240408885,29.274207538338672,0.0020915971811961143,0.21884500742390856,32.1349983215332
2015-03-04,28.63644790649414,32.1349983215332,32.38999938964844,32.08000183105469,32.275001525878906,126665200,32.29349975585937,32.4444995880127,32.076505683866294,31.149845604070443,61.67422206143654,0.9266600797958517,1.051316551904347,33.76648500845658,29.556514564297334,-0.006338955785016642,0.20426380458095553,31.602500915527344
2015-03-05,28.161914825439453,31.602500915527344,32.1875,31.440000534057617,32.14500045776367,226068400,32.09300003051758,32.393499755859374,32.00358187335261,31.183375627141324,55.12911681181286,0.8202062462112849,1.0050944907657346,33.68998090794102,29.804268817400775,-0.01657063743018905,0.21257525413156783,31.649999618530277
2015-03-06,28.204248428344727,31.649999618530277,32.342498779296875,31.565000534057617,32.099998474121094,291368400,31.999999618530275,32.320999717712404,31.94918460337994,31.21794036724421,55.58193258996765,0.7312442361357299,0.9503244398397337,33.59894420164161,30.061805424518063,0.0015030045606168052,0.2115592978503488,31.78499984741211
2015-03-09,28.32455062866211,31.78499984741211,32.39250183105469,31.264999389648438,31.989999771118164,354114000,31.902499771118165,32.174499702453616,31.92392541015412,31.259944773182575,56.91282334407436,0.6639806369715444,0.8930556792660959,33.41822915237802,30.44777045089346,0.004265410126665259,0.2107586455103021,31.127500534057617
2015-03-10,27.73863410949707,31.127500534057617,31.80500030517578,30.950000762939453,31.602500915527344,275426400,31.65999984741211,31.982999801635742,31.801398506139275,31.250134088802948,49.18340485079237,0.551264417336327,0.8246974268801421,33.22532382775533,30.76042579840433,-0.020685836605659924,0.22447565312007434,30.559999465942383
